quantitative_metric,complexity_metric,method,n_samples,spearman_r,spearman_p,pearson_r,pearson_p
bypass_vs_gt_diff_hunks,lloc,bypass,1094,-0.37370341540039953,1.3780334502613145e-37,-0.382461725607519,1.9812280409693448e-39
bypass_vs_gt_diff_hunks,mi_score,ground_truth,1094,0.3724014378206001,2.5605979782977945e-37,0.2974675294497564,8.626519255421557e-24
gt_diff_lines_removed,cc_total,ground_truth,1100,0.3723569123955112,1.666805920261709e-37,0.24896409914044437,5.2877272238308565e-17
gt_diff_lines_removed,mi_score,ground_truth,1100,-0.3715239456844212,2.479138659120554e-37,-0.20057121636999004,1.9071554141007903e-11
bypass_vs_gt_diff_hunks,cc_total,bypass,1094,-0.371353027691865,4.208473003179157e-37,-0.43303079060663185,3.1878287808866824e-51
bypass_vs_gt_diff_hunks,lloc,agent,1094,-0.3696986213386484,9.183698536006218e-37,-0.28379814211216425,1.032461394522627e-21
gt_diff_hunks,cc_avg,ground_truth,1100,0.36954722246612,6.330597923889934e-37,0.14595589069761924,1.1658160278915366e-06
gt_diff_lines_added,sloc,agent,1100,0.369135605114605,7.68898310479065e-37,0.20947793912798865,2.25551571649e-12
gt_sloc,cc_max,agent,1100,0.3685913113858168,9.93842021584902e-37,0.22342814560490365,6.538680387574294e-14
gt_loc,cc_max,agent,1100,0.3678249798012598,1.4251716146967014e-36,0.2157329338583509,4.750793987489017e-13
bypass_vs_gt_diff_hunks,cc_total,ground_truth,1094,-0.3671550400376081,3.021407038433647e-36,-0.44930179707728307,1.820602293934122e-55
gt_diff_total_change,h_difficulty,bypass,1100,0.3666606648842279,2.4598511329903545e-36,0.27621284665791745,1.0322789096948828e-20
agent_vs_bypass_diff_hunks,sloc,agent,1091,0.36656505698994085,4.9442536029413246e-36,0.2359829050765122,2.846760763368282e-15
gt_diff_lines_added,lloc,agent,1100,0.3654784778352332,4.271612757699355e-36,0.1931639125984896,1.0458328114921727e-10
gt_diff_total_change,lloc,agent,1100,0.36366077023617804,9.93505046961885e-36,0.19956495313154235,2.4125955635011657e-11
gt_diff_lines_removed,h_difficulty,ground_truth,1100,0.3616987802984046,2.455834628085205e-35,0.18657868042177206,4.4914380093229483e-10
gt_diff_lines_removed,cc_max,bypass,1100,0.3597054281938376,6.119408089714115e-35,0.2527544350077226,1.7100927086404935e-17
agent_vs_bypass_diff_hunks,lloc,agent,1091,0.35782952368046433,2.6719299044812163e-34,0.24670899208987487,1.3662505115013688e-16
gt_diff_hunks,cc_total,agent,1100,0.35766158629908995,1.5500472524975879e-34,0.2290993014042651,1.4456068489869477e-14
gt_diff_lines_removed,mi_score,bypass,1100,-0.3491145976988817,7.023835057965508e-33,-0.22151863058952,1.0770007183987697e-13
gt_diff_lines_added,h_difficulty,bypass,1100,0.34651257253391404,2.1914609867967957e-32,0.2486481148946484,5.804557885211e-17
bypass_vs_gt_diff_hunks,h_bugs,ground_truth,1094,-0.3449692219529303,6.279007486511075e-32,-0.4694957494678534,4.610384895449849e-61
bypass_vs_gt_diff_hunks,h_bugs,bypass,1094,-0.34376763667945365,1.0520240484233255e-31,-0.45974943621471626,2.580446776830838e-58
gt_diff_lines_removed,sloc,agent,1100,0.3434219033260387,8.349440787458054e-32,0.147761573526142,8.559100398431424e-07
bypass_vs_gt_diff_total_change,sloc,agent,1094,-0.3411625277869267,3.1959688957321273e-31,-0.19116782673816732,1.8337641231269582e-10
bypass_vs_gt_diff_total_change,lloc,agent,1094,-0.3359627096166228,2.8455585759022862e-30,-0.18830322754344547,3.443427737964568e-10
bypass_vs_gt_diff_lines_removed,sloc,agent,1094,-0.33572249043381575,3.1448346122886622e-30,-0.1421438077872151,2.3571338753884553e-06
bypass_vs_gt_diff_lines_removed,sloc,bypass,1094,-0.335257902579326,3.814903600271158e-30,-0.27281408066598317,4.000869615794331e-20
agent_vs_bypass_diff_hunks,sloc,bypass,1091,0.33410666885101786,7.352356877321782e-30,0.21278420442855933,1.2318876295607208e-12
bypass_vs_gt_diff_hunks,mi_score,bypass,1094,0.3336135549283182,7.537589524416496e-30,0.29438661009270484,2.5951004838781923e-23
gt_diff_hunks,h_bugs,agent,1100,0.33244113032344974,8.575244795670844e-30,0.2072075684357475,3.922770631793373e-12
bypass_vs_gt_diff_lines_added,mi_score,ground_truth,1094,0.331794119560378,1.5936082308126268e-29,0.235747086555206,2.7848234465091634e-15
agent_vs_bypass_diff_hunks,sloc,ground_truth,1091,0.328606681309504,6.94646055952619e-29,0.21656949776860795,4.789604033519874e-13
agent_vs_bypass_diff_hunks,lloc,bypass,1091,0.3281812518805007,8.248569415955107e-29,0.21522437831590477,6.713823661751178e-13
bypass_vs_gt_diff_total_change,mi_score,ground_truth,1094,0.32727298226649515,1.0020564149674184e-28,0.2281068165753562,2.2223109505098396e-14
bypass_vs_gt_diff_lines_removed,lloc,agent,1094,-0.3267983413444217,1.2132309724492587e-28,-0.15208358867710914,4.3278380651194277e-07
agent_vs_bypass_diff_lines_removed,sloc,bypass,1091,0.3265068316908846,1.6177158109430278e-28,0.47290878715942325,7.010275678612179e-62
bypass_vs_gt_diff_lines_added,sloc,agent,1094,-0.3263642650806302,1.444667546545853e-28,-0.20063481103669378,2.131030353657075e-11
bypass_vs_gt_diff_hunks,cc_max,bypass,1094,-0.32553424107120943,2.0156436974792026e-28,-0.3607929642830288,5.67027857018868e-35
bypass_vs_gt_diff_lines_removed,sloc,ground_truth,1094,-0.3254320322351185,2.0998791706685803e-28,-0.2503285602486349,4.297393100805828e-17
bypass_vs_gt_diff_lines_added,sloc,ground_truth,1094,-0.3248390660441875,2.6620366014177407e-28,-0.29175489502235646,6.578443366149561e-23
bypass_vs_gt_diff_lines_removed,cc_total,bypass,1094,-0.3242837922991972,3.3225959855674955e-28,-0.29746513289960513,8.63395807432444e-24
bypass_vs_gt_diff_hunks,h_difficulty,bypass,1094,-0.3242714606198811,3.33897452808279e-28,-0.30087857170520443,2.5086226623519172e-24
bypass_vs_gt_diff_lines_added,lloc,agent,1094,-0.324119785382905,3.5470863419849776e-28,-0.18865698219809726,3.187335287958718e-10
gt_diff_lines_added,cc_max,ground_truth,1100,0.32411205555386613,2.5435270650054645e-28,0.23573548890950372,2.3471663430737024e-15
agent_vs_bypass_diff_hunks,lloc,ground_truth,1091,0.32352924778883124,5.303711327560173e-28,0.22035616880393677,1.8288743789720358e-13
bypass_vs_gt_diff_total_change,sloc,ground_truth,1094,-0.3235139994798481,4.514386998487541e-28,-0.29822869347515596,6.557873576491497e-24
gt_diff_lines_removed,lloc,agent,1100,0.3214440187762321,7.368648421194664e-28,0.144434493055191,1.5081966544334602e-06
bypass_vs_gt_diff_hunks,h_difficulty,ground_truth,1094,-0.3200249089711664,1.791242765803528e-27,-0.3068941383831104,2.727929587232907e-25
bypass_vs_gt_diff_lines_removed,lloc,bypass,1094,-0.3198356139482165,1.929314792572705e-27,-0.26359208858267213,7.597512668543366e-19
bypass_vs_gt_diff_hunks,cc_max,ground_truth,1094,-0.31903560087944804,2.639002328797603e-27,-0.3397820078762828,5.734242509003347e-31
gt_diff_lines_removed,cc_max,ground_truth,1100,0.3177993487425477,3.097130684427354e-27,0.19740734105096128,3.9774098343649306e-11
gt_diff_total_change,cc_max,ground_truth,1100,0.31602408248497804,6.188462813865938e-27,0.25364982260641783,1.3061982775213773e-17
bypass_vs_gt_diff_lines_removed,h_bugs,bypass,1094,-0.3141369748059673,1.759782459944028e-26,-0.3317233776950647,1.6405123668119067e-29
gt_diff_hunks,h_difficulty,agent,1100,0.31075899772371984,4.691138068257546e-26,0.16509026676448105,3.649418085362705e-08
bypass_vs_gt_diff_lines_added,lloc,ground_truth,1094,-0.3105821385408369,6.821034162501587e-26,-0.26159404705690253,1.4162748224074497e-18
bypass_vs_gt_diff_lines_removed,lloc,ground_truth,1094,-0.3093355879084327,1.0921471178812985e-25,-0.23901730823712067,1.119059842171892e-15
agent_vs_bypass_diff_lines_removed,sloc,ground_truth,1091,0.3089376016066805,1.4766447856172955e-25,0.4696469458964137,6.07197206401423e-61
